,0
0,0 2136 7799 9882 1057 3430 7628 3527 5727 7887 3528
1,1 9737 5429 1457 3730 2426 2158 3533 99 3108 4961
2,2 3747 5721 2870 7702 8940 1569 7743 2429 483 5239
3,3 9382 8444 5428 1071 2182 9045 2211 220 9599 2907
4,4 7000 5840 2568 1599 5350 3703 169 8023 7409 343
5,5 3135 8109 9823 5214 9554 4983 7656 5673 466 3366
6,6 3455 4472 670 6953 3248 1241 2391 8425 3730 3367
7,7 5454 111 3335 5295 9123 2531 8364 1259 7669 7973
8,8 2285 349 8738 8736 2404 3458 7046 2164 9891 1587
9,9 23 243 1184 1750 2432 2933 3854 3934 4423 4425
10,10 132 976 1076 1467 1914 2356 2659 2829 5459 5829
11,11 5818 8465 6474 1847 9014 8432 4287 5553 8158 9456
12,12 5666 4621 3443 2363 7401 5013 5287 1510 2181 5059
13,13 3336 3713 4829 9079 8383 8367 8793 4941 3269 4404
14,14 7630 4156 8816 6954 3492 5576 3965 7581 6773 3571
15,15 3341 8669 3736 9246 8532 7319 1362 1470 6399 951
16,16 419 8341 7688 397 9221 5468 5884 8820 2464 5725
17,17 6222 747 1821 1840 2952 5170 8384 8795 9347 3310
18,18 98 1880 8546 1696 2773 383 3829 9499 4841 963
19,19 3852 3588 8389 7367 3759 6347 9772 5306 1594 3549
20,20 3262 3846 5018 5026 9242 5803 711 3064 5776 8185
21,21 9184 6541 9883 9609 3842 1778 7188 3665 6159 1038
22,22 1669 2418 5093 7097 7107 8283 9337 9381 2441 754
23,9 23 243 1184 1750 2432 2933 3854 3934 4423 4425
24,24 3288 1542 727 772 5446 5389 2712 1701 2074 9541
25,25 3267 5817 1830 6444 2897 4206 5060 7669 5781 6417
26,26 9733 1158 9040 2099 8131 6248 9466 9824 5666 2476
27,27 2129 7117 5595 3896 6957 8597 529 5983 6765 2902
28,28 9816 2379 9572 7448 5222 9885 6129 1518 9325 5096
29,29 3943 4081 3375 8921 4006 9825 6228 1280 5525 4889
30,30 6335 3263 1562 8073 7193 7308 4401 8528 1014 1619
31,31 1849 2950 2816 5881 3807 136 9942 6640 8629 1930
32,32 1151 9706 5744 4071 8728 4243 9157 634 1406 3142
33,33 7522 6093 148 5678 1488 2050 9966 3169 5396 3039
34,34 9732 6116 4740 4853 3495 3988 9011 7203 3985 3437
35,35 7039 9787 7084 3752 7846 2845 7942 8008 7809 377
36,36 210 309 555 563 688 818 1285 1356 1377 1454
37,37 4826 6099 1469 7273 3722 9133 8467 6353 6629 8424
38,38 5180 9184 7656 5673 9014 9883 9609 8459 7815 6625
39,39 7605 5885 817 2550 8973 8559 3859 4286 7756 6074
40,40 4104 5223 6604 8878 982 1387 3876 5458 6015 6208
41,41 4908 7140 1526 3834 1906 4399 9338 5613 8602 999
42,42 2288 1772 8535 8954 2802 7293 8110 4377 2583 8331
43,43 2920 4722 5056 811 4746 3420 5708 2421 9651 2645
44,44 9094 6941 2602 6648 118 4435 8221 2241 6176 940
45,45 9635 1814 9280 5511 8464 7823 7368 7016 2130 5365
46,46 316 390 647 712 851 972 1591 2672 3236 4473
47,47 1829 2085 6779 3277 3685 4055 6089 7906 7584 4099
48,48 366 1236 1947 2262 4953 5578 7952 8242 8406 9007
49,49 8739 2892 296 7321 7656 9396 9450 9363 6053 6791
50,50 429 1501 1781 2768 3698 4159 8213 9884 4013 7358
51,51 994 1504 3038 4774 7525 6944 3241 9301 3688 6653
52,52 7803 3476 5122 8544 1084 1657 6243 3342 3252 8638
53,53 4152 5744 3007 2080 6077 7758 5756 9010 3682 9411
54,54 1638 4360 302 6038 2165 6721 3350 6584 4464 7714
55,55 5099 1802 4877 1489 9586 5133 507 8296 2520 7173
56,56 9356 775 1716 2261 2447 5779 6147 8190 8794 526
57,57 8612 5261 9415 2488 1776 5209 6611 9349 1826 4697
58,58 7971 8797 8930 8545 5075 7560 8026 9644 8549 3759
59,59 904 5927 6533 7787 9350 4708 9622 8589 8942 5192
60,60 1442 4297 7281 2296 2959 897 4815 1906 8602 9642
61,61 708 3412 95 8777 3770 6938 1013 6223 9981 2183
62,62 9030 6756 8618 2791 5412 2456 6027 7279 8010 4688
63,63 4903 6899 7593 8688 8030 307 361 9961 1215 1126
64,64 9859 5016 2427 252 6777 7704 9784 300 7754 8299
65,65 3201 2194 9828 7656 1221 3446 5869 4620 4540 9921
66,66 7315 3308 4372 4624 5746 7551 9126 9845 2622 2890
67,67 4490 6419 7944 2239 2692 4452 5030 5935 6071 9538
68,68 5869 8422 299 3201 6930 6625 9184 5180 6085 9912
69,69 9796 4695 9562 99 3666 8560 5983 8724 4252 9247
70,70 2499 4866 5679 7695 350 7043 1704 4709 7906 3024
71,71 7374 7007 3601 7118 3331 6241 7268 8179 663 2443
72,72 7374 7007 3601 7118 2443 5386 663 9385 71 4305
73,73 1878 9833 5669 7807 6749 6904 1911 2163 4051 5467
74,74 8702 921 7316 8139 570 3621 5469 479 5437 7737
75,75 7146 1060 8708 5709 8085 5730 1298 7608 5542 8685
76,76 5743 7247 7083 1714 354 9773 6552 3886 7316 1682
77,77 8605 8256 84 2362 7423 6632 5236 1571 5798 6466
78,78 5256 1908 2871 5600 2014 6441 2603 165 3707 6437
79,79 4827 6961 360 9744 3298 2486 2382 5161 1487 7592
80,80 90 257 4325 4601 4657 5740 7274 9582 4945 8717
81,81 7291 9960 6332 4726 4244 3458 7273 4577 1403 5973
82,82 7154 6388 1273 3508 6120 8489 8047 6643 5438 5713
83,83 9951 8350 6280 7463 322 1658 6537 9949 7924 3334
84,84 6632 5485 7168 8745 3214 3697 7541 7621 4137 162
85,85 2971 9088 5438 8123 9718 5910 4101 4832 6388 7759
86,86 4240 2584 9802 9775 2983 676 6707 9414 565 1430
87,87 194 8866 284 1507 379 1834 2386 7882 1711 9280
88,88 1558 2225 6760 4945 8927 807 6426 371 1757 9234
89,89 4844 9852 348 3254 7514 8752 9553 7087 679 3545
90,80 90 257 4325 4601 4657 5740 7274 9582 4945 8717
91,91 2092 8003 8246 3374 8972 1603 1632 5402 8882 629
92,92 5229 6928 6785 8064 7045 9554 3871 5484 9921 3201
93,93 1837 4004 2051 3294 1620 7026 2404 1525 7595 9946
94,94 1141 5087 1895 8399 9132 5788 8243 5011 9557 6663
95,95 8777 6938 1013 6995 6152 8503 8898 7689 813 6745
96,96 7535 5612 6931 9064 8883 1167 9442 2235 8212 2620
97,97 2037 3735 8079 9662 5414 4418 6520 3886 6651 2812
98,18 98 1880 8546 1696 2773 383 3829 9499 4841 963
99,99 9562 3730 2158 3533 7654 1457 382 4961 3108 6046
100,100 9246 1396 3529 2689 5844 226 5579 5141 8931 9653
101,101 5810 491 7366 8782 4717 3830 6101 8125 6044 1746
102,102 4723 4568 3629 6977 423 7110 5451 9057 8448 3216
103,103 2000 5685 4780 6267 399 1130 1578 2219 2782 3296
104,104 3648 8861 142 4678 2996 7655 9150 7898 4167 5272
105,105 4555 5490 4948 4017 8905 2046 311 1881 2891 3132
106,106 1015 5601 7222 2679 9815 2551 582 2667 7406 7158
107,107 6019 797 248 4519 3756 7102 8920 3621 28 7010
108,108 8844 8383 6108 8410 2757 3336 5257 3561 9079 6304
109,109 9331 5047 4996 9203 7432 4885 1826 4697 6065 9467
110,110 8379 2389 9312 2403 5085 2256 7283 6462 8142 8462
111,111 3335 5295 5454 7 2531 8364 9123 7966 1259 7598
112,112 3157 720 1049 2233 2436 2487 2789 3318 3531 3927
113,113 1544 2573 1353 1895 8624 2806 1681 9598 5239 796
114,114 8329 1303 8007 3487 1882 4093 500 5351 4243 1297
115,115 4814 5055 5882 3815 8209 6357 6090 9825 7602 2366
116,116 6815 5580 7063 1803 570 6734 8020 5545 4775 8927
117,117 2559 3623 5078 2294 1381 3189 3552 4653 6080 6256
118,118 4435 9094 2241 44 6941 2602 6648 8221 5209 6611
119,119 9448 9952 5546 6268 5539 9315 6719 6400 6732 9970
120,120 6506 1222 358 424 463 489 587 635 792 827
121,121 1809 8957 683 365 2660 1982 591 5933 9276 6971
122,122 1332 1086 6136 8078 9322 929 8310 5502 7217 659
123,123 9699 326 1729 7733 8540 6595 7634 8041 9990 2045
124,124 8153 8251 238 3000 7509 5645 6947 8687 9021 6570
125,125 7558 8642 9907 9229 9137 5303 7062 5804 4853 4062
126,126 885 7985 6658 9455 50 429 1501 1781 2768 3698
127,127 3387 9257 9161 3409 7024 3294 8709 2989 5933 3687
128,128 143 156 7253 433 3172 7306 4899 8122 418 4114
129,129 3798 7953 8897 4488 5691 6738 9476 1622 1659 2012
130,130 2427 7158 9859 1015 6777 1058 6180 9840 1619 6407
131,131 4514 7307 2791 6957 8676 3103 6328 1079 9299 7762
132,10 132 976 1076 1467 1914 2356 2659 2829 5459 5829
133,133 6601 796 5308 2875 8823 8817 4661 4025 8399 9132
134,134 3192 8827 2615 8245 691 6634 5105 533 6916 8404
135,135 8891 4387 4763 5178 445 6879 7829 5108 8324 4930
136,136 1930 8629 4069 1395 3807 6376 5881 5106 9903 5735
137,137 3860 6955 9526 718 5238 4465 9247 7460 2143 2395
138,138 9080 8875 7569 3827 8249 9423 3768 6366 3056 374
139,139 6752 3300 7811 8511 8879 3529 9255 3359 100 1286
140,140 9414 86 4240 5704 5985 8483 9802 8231 1645 223
141,141 3477 6855 4019 3578 168 1674 702 8251 4694 5929
142,142 2996 7655 4678 7898 5381 4680 9464 5272 596 8861
143,143 128 156 7253 433 3172 7306 4899 8122 4114 418
144,144 8068 8923 3241 9301 6268 119 6719 9970 7576 6308
145,145 206 548 652 913 1003 1022 1091 1505 1806 1875
146,146 6289 1890 3312 743 2205 5895 3647 7214 8004 5528
147,147 3689 5150 3838 7093 6071 9538 4938 1704 2109 5108
148,148 5678 5858 5396 6093 33 8405 3169 3039 5963 8863
149,149 7180 4044 6795 9961 4836 1553 4567 5318 3337 9250
150,150 1475 6776 6817 4222 7175 9648 5818 9465 8029 5630
151,151 341 7052 6597 6228 4645 8871 1839 4006 1267 7382
